用户ID,实验分组,年龄段,性别,设备类型,页面停留时间(秒),是否转化,点击次数
AB00831,A组(对照组),45+,女,iOS,81.24311757813766,0,4
AB00832,B组(实验组),35-44,男,Android,44.371148780719444,0,7
AB00833,B组(实验组),18-24,男,iOS,16.581236754211115,0,2
AB00834,B组(实验组),45+,女,Android,36.090807343695154,0,4
AB00835,A组(对照组),45+,男,PC,12.394444697762939,0,4
AB00836,B组(实验组),35-44,男,iOS,54.53087315064806,0,4
AB00837,A组(对照组),18-24,女,Android,114.38057980777344,0,9
AB00838,A组(对照组),45+,女,iOS,13.833320134967499,0,4
AB00839,B组(实验组),25-34,女,PC,31.817918209912737,0,4
AB00840,A组(对照组),25-34,男,PC,234.63686535875075,0,6
AB00841,A组(对照组),25-34,男,iOS,15.918324160738361,0,5
AB00842,B组(实验组),18-24,女,Android,207.04175164386217,0,4
AB00843,B组(实验组),18-24,男,Android,9.360805357141764,1,7
AB00844,B组(实验组),25-34,女,Android,4.819138111958501,0,3
AB00845,A组(对照组),35-44,女,PC,43.8382367512999,0,5
AB00846,A组(对照组),25-34,女,iOS,28.771156787511895,0,6
AB00847,A组(对照组),25-34,男,Android,21.893982700316446,0,5
AB00848,B组(实验组),18-24,男,Android,32.29296337990162,0,7
AB00849,A组(对照组),25-34,女,iOS,88.30884776296833,1,4
AB00850,A组(对照组),45+,男,iOS,9.274584546388072,0,2
AB00851,B组(实验组),18-24,男,iOS,32.38368763266087,0,3
AB00852,A组(对照组),35-44,男,Android,68.31349394660846,0,3
AB00853,A组(对照组),25-34,男,Android,65.810037104774,0,3
AB00854,A组(对照组),18-24,女,PC,68.79793048803751,0,5
AB00855,A组(对照组),18-24,男,iOS,4.05444163794912,0,4
AB00856,B组(实验组),18-24,男,Android,5.174899723016468,1,5
AB00857,B组(实验组),25-34,女,iOS,158.2347409675398,1,3
AB00858,B组(实验组),45+,男,Android,28.01886189779509,0,5
AB00859,B组(实验组),25-34,男,iOS,117.017619462716,0,6
AB00860,B组(实验组),35-44,女,Android,84.91459207686901,0,4
AB00861,B组(实验组),45+,女,PC,10.067830724643494,0,7
AB00862,B组(实验组),25-34,男,PC,108.06157581788347,0,3
AB00863,A组(对照组),18-24,男,PC,2.0033827104451487,0,6
AB00864,B组(实验组),45+,女,PC,62.26967672133756,0,5
AB00865,B组(实验组),45+,男,PC,3.008205126266653,0,5
AB00866,B组(实验组),35-44,男,Android,70.80409613745405,0,9
AB00867,B组(实验组),35-44,女,PC,53.9273725669028,0,5
AB00868,A组(对照组),18-24,男,iOS,68.94704375894808,0,4
AB00869,B组(实验组),35-44,男,Android,15.710856367991408,0,8
AB00870,A组(对照组),35-44,女,PC,37.38197239047,0,5
AB00871,B组(实验组),45+,女,iOS,4.165997271413282,0,5
AB00872,B组(实验组),35-44,女,Android,143.80071892015513,0,5
AB00873,A组(对照组),45+,女,PC,10.907450118816183,1,6
AB00874,A组(对照组),35-44,男,Android,0.6976398777792981,0,3
AB00875,B组(实验组),18-24,女,Android,0.5028709943575285,0,5
AB00876,A组(对照组),18-24,男,PC,20.516957166859115,0,10
AB00877,B组(实验组),45+,女,Android,56.13640591099556,0,2
AB00878,B组(实验组),18-24,女,Android,71.48432376132739,0,4
AB00879,B组(实验组),18-24,女,PC,22.64063316774828,1,1
AB00880,B组(实验组),18-24,女,Android,70.7874662227255,0,8
AB00881,B组(实验组),45+,女,iOS,39.05832997008727,0,3
AB00882,B组(实验组),45+,男,PC,28.152002471710762,0,6
AB00883,A组(对照组),35-44,男,iOS,38.583199613082485,0,6
AB00884,B组(实验组),45+,男,iOS,92.36987572038163,0,5
AB00885,A组(对照组),45+,女,iOS,22.1272184822752,0,3
AB00886,A组(对照组),35-44,男,PC,17.415913956622422,0,10
AB00887,B组(实验组),45+,女,iOS,21.942445079282493,0,2
AB00888,A组(对照组),25-34,男,Android,66.46761750590157,0,4
AB00889,A组(对照组),45+,男,Android,56.33914813638846,0,6
AB00890,A组(对照组),18-24,女,iOS,112.26531696563347,0,6
AB00891,B组(实验组),35-44,女,Android,13.979987676459476,0,5
AB00892,A组(对照组),45+,女,PC,74.7902498816087,0,2
AB00893,A组(对照组),35-44,男,iOS,18.149673096807796,0,6
AB00894,A组(对照组),18-24,女,PC,88.42243142850589,0,4
AB00895,B组(实验组),35-44,女,PC,170.33133069625075,0,2
AB00896,A组(对照组),45+,男,iOS,43.32150864602441,0,4
AB00897,B组(实验组),45+,男,iOS,16.940400672771162,0,6
AB00898,B组(实验组),25-34,女,PC,104.4401847987689,0,1
AB00899,B组(实验组),25-34,女,PC,96.81152094917539,0,6
AB00900,A组(对照组),18-24,男,Android,77.65059858353708,0,6
AB00901,B组(实验组),35-44,男,PC,48.51399964608131,0,6
AB00902,A组(对照组),18-24,女,Android,54.695537260197874,0,6
AB00903,B组(实验组),18-24,男,iOS,91.25170129612984,0,2
AB00904,B组(实验组),25-34,男,Android,31.998895299684882,0,6
AB00905,B组(实验组),45+,女,PC,273.48341384421695,0,7
AB00906,A组(对照组),45+,女,PC,2.7433744148365213,0,5
AB00907,A组(对照组),45+,男,iOS,153.74902707942238,1,8
AB00908,B组(实验组),18-24,女,Android,37.46584561246873,0,10
AB00909,A组(对照组),45+,男,Android,176.90668663056454,0,5
AB00910,B组(实验组),45+,女,Android,35.01504572957333,0,5
AB00911,B组(实验组),25-34,女,iOS,48.77193461375374,0,8
AB00912,A组(对照组),18-24,女,PC,17.57729697136511,0,9
AB00913,A组(对照组),25-34,男,PC,54.31666649619974,0,8
AB00914,A组(对照组),45+,女,PC,88.34432820318497,0,4
AB00915,B组(实验组),45+,女,iOS,52.11252793319248,0,5
AB00916,B组(实验组),25-34,男,Android,14.759729506935749,0,8
AB00917,A组(对照组),18-24,男,iOS,19.81034451184571,1,3
AB00918,A组(对照组),18-24,男,iOS,130.26610338584427,0,7
AB00919,A组(对照组),25-34,女,PC,56.88629620562538,0,9
AB00920,B组(实验组),35-44,女,iOS,30.14403349359863,0,2
AB00921,B组(实验组),25-34,女,Android,18.945348623739243,0,5
AB00922,A组(对照组),45+,女,PC,104.6325069842996,1,3
AB00923,B组(实验组),18-24,女,PC,42.420619255039895,0,5
AB00924,A组(对照组),25-34,女,PC,3.787352356338278,0,2
AB00925,A组(对照组),45+,男,iOS,13.68257970573603,0,6
AB00926,A组(对照组),25-34,男,Android,33.4761310064861,0,1
AB00927,A组(对照组),18-24,女,Android,15.817026145951823,0,6
AB00928,B组(实验组),18-24,男,iOS,1.5617757783285213,0,4
AB00929,B组(实验组),25-34,男,iOS,25.35020258305126,0,4
AB00930,A组(对照组),45+,男,Android,54.002472793918685,0,5
AB00931,A组(对照组),25-34,女,Android,32.42738070713057,0,8
AB00932,A组(对照组),25-34,男,Android,123.11588805069556,1,6
AB00933,A组(对照组),35-44,女,Android,9.733153841940737,0,4
AB00934,B组(实验组),35-44,女,PC,44.8141170708125,0,2
AB00935,A组(对照组),25-34,男,iOS,35.87811477572715,0,8
AB00936,A组(对照组),45+,男,iOS,59.39109980309434,0,9
AB00937,B组(实验组),45+,女,PC,33.15567416007007,0,3
AB00938,A组(对照组),18-24,女,PC,8.986193090849236,0,7
AB00939,B组(实验组),18-24,女,PC,188.9350802413543,0,5
AB00940,B组(实验组),45+,男,PC,83.0997404181664,1,3
AB00941,A组(对照组),25-34,女,Android,55.69992072563647,0,3
AB00942,A组(对照组),25-34,女,PC,15.413219652416027,0,3
AB00943,A组(对照组),45+,女,PC,4.641481956383078,0,5
AB00944,A组(对照组),25-34,女,Android,5.141533133797484,0,5
AB00945,A组(对照组),25-34,女,iOS,31.987829391311916,0,6
AB00946,B组(实验组),25-34,女,PC,81.7666972083887,0,2
AB00947,B组(实验组),18-24,男,PC,13.450658347103435,0,7
AB00948,B组(实验组),45+,男,iOS,94.20958215533305,0,4
AB00949,B组(实验组),18-24,女,Android,6.452542073416647,0,6
AB00950,B组(实验组),45+,男,iOS,7.346134259846913,0,9
AB00951,B组(实验组),18-24,女,Android,151.0091790459925,0,5
AB00952,A组(对照组),25-34,男,PC,25.07438939541342,0,7
AB00953,B组(实验组),45+,男,PC,42.56686619994711,0,6
AB00954,B组(实验组),35-44,女,Android,20.91472261040994,0,7
AB00955,B组(实验组),25-34,女,Android,19.834952948676495,0,3
AB00956,B组(实验组),45+,男,Android,100.11432896169309,0,4
AB00957,B组(实验组),25-34,男,PC,3.4661134612864544,0,6
AB00958,A组(对照组),35-44,女,iOS,55.26785985149574,0,2
AB00959,B组(实验组),45+,男,iOS,17.616836525361105,0,6
AB00960,A组(对照组),45+,男,Android,128.5152048776627,0,2
AB00961,B组(实验组),35-44,男,PC,46.4077601531718,0,3
AB00962,A组(对照组),35-44,男,PC,63.66741605197998,0,5
AB00963,A组(对照组),35-44,男,PC,142.16148184602886,0,6
AB00964,A组(对照组),45+,男,Android,116.82203190649875,0,5
AB00965,A组(对照组),35-44,男,PC,67.26068281582064,0,8
AB00966,B组(实验组),18-24,女,PC,72.58704627215714,0,6
AB00967,A组(对照组),25-34,女,iOS,113.14745538832598,0,4
AB00968,B组(实验组),45+,女,iOS,28.85627200390093,0,8
AB00969,A组(对照组),45+,女,PC,100.88544517799566,0,10
AB00970,A组(对照组),45+,女,Android,54.230054274541395,0,6
AB00971,A组(对照组),18-24,女,PC,201.48929574026587,0,4
AB00972,B组(实验组),25-34,男,iOS,18.06488047756399,0,5
AB00973,A组(对照组),25-34,女,PC,19.06181711002657,0,4
AB00974,B组(实验组),35-44,男,PC,50.49940970597648,0,11
AB00975,B组(实验组),35-44,女,Android,351.11113736720904,0,3
AB00976,A组(对照组),25-34,女,PC,19.825091330488252,0,1
AB00977,B组(实验组),35-44,女,iOS,122.18049879030137,1,7
AB00978,A组(对照组),18-24,男,Android,24.80202866345217,1,4
AB00979,B组(实验组),45+,男,PC,122.14507532180171,0,3
AB00980,A组(对照组),45+,女,PC,10.138926342312695,0,6
AB00981,B组(实验组),18-24,女,Android,4.083434623776339,0,7
AB00982,A组(对照组),25-34,女,Android,8.138751406031538,0,9
AB00983,B组(实验组),35-44,女,PC,7.382386606443182,0,5
AB00984,A组(对照组),25-34,女,iOS,146.58447513794624,0,8
AB00985,A组(对照组),25-34,女,iOS,93.86916696722369,0,4
AB00986,A组(对照组),25-34,男,Android,61.651939905615606,0,5
AB00987,B组(实验组),35-44,女,Android,16.754830304408156,0,3
AB00988,A组(对照组),25-34,男,PC,21.21192482698056,0,7
AB00989,B组(实验组),18-24,女,Android,134.03813527850852,0,5
AB00990,B组(实验组),35-44,女,PC,40.951849249854355,0,4
AB00991,B组(实验组),18-24,男,PC,32.571866671366976,0,10
AB00992,A组(对照组),18-24,女,Android,33.432650379990996,0,10
AB00993,A组(对照组),35-44,男,PC,15.433611425080658,0,3
AB00994,A组(对照组),35-44,女,Android,67.14615046131263,1,4
AB00995,A组(对照组),18-24,女,Android,65.21092989699262,0,6
AB00996,A组(对照组),45+,男,Android,42.26938721254692,1,4
AB00997,A组(对照组),45+,女,iOS,104.28910395746955,0,9
AB00998,A组(对照组),25-34,男,PC,155.1703544533017,0,4
AB00999,A组(对照组),25-34,男,iOS,12.345048006923264,0,6
AB01000,B组(实验组),35-44,男,PC,72.8467225081491,0,6
AB01001,A组(对照组),45+,女,Android,10.143796024966472,0,4
AB01002,A组(对照组),18-24,女,iOS,20.404753539460486,0,8
AB01003,B组(实验组),45+,男,PC,24.987211991920184,0,6
AB01004,A组(对照组),45+,女,PC,58.881478197769404,0,9
AB01005,B组(实验组),45+,女,PC,19.699807943071228,0,1
AB01006,A组(对照组),25-34,男,PC,30.741559800726407,0,7
AB01007,B组(实验组),35-44,男,Android,154.63162724712913,0,5
AB01008,A组(对照组),18-24,女,Android,44.600465724568494,0,6
AB01009,B组(实验组),25-34,女,Android,76.09693713771586,0,7
AB01010,A组(对照组),45+,女,PC,39.49888178018911,0,8
AB01011,A组(对照组),45+,女,PC,28.70868158268338,0,5
AB01012,B组(实验组),45+,女,Android,87.77871906919324,0,6
AB01013,B组(实验组),35-44,女,PC,2.3076971086902893,0,13
AB01014,A组(对照组),45+,男,iOS,41.31096518143856,0,6
AB01015,A组(对照组),25-34,女,iOS,85.67894939182659,0,3
AB01016,A组(对照组),35-44,女,Android,394.93253218560227,0,5
AB01017,A组(对照组),25-34,女,iOS,14.815940223272301,0,7
AB01018,B组(实验组),45+,男,PC,63.513702843440946,0,6
AB01019,A组(对照组),45+,男,iOS,86.72784527490256,0,6
AB01020,A组(对照组),35-44,女,PC,30.98638149497534,0,7
AB01021,B组(实验组),18-24,男,PC,133.2548285625244,0,7
AB01022,A组(对照组),45+,男,iOS,121.51587820732597,0,5
AB01023,B组(实验组),18-24,男,PC,66.85218529064248,0,6
AB01024,A组(对照组),25-34,女,iOS,223.5181721771624,0,7
AB01025,A组(对照组),25-34,女,Android,52.96513054316653,0,5
AB01026,B组(实验组),18-24,女,iOS,2.144649971628531,0,7
AB01027,A组(对照组),18-24,男,iOS,86.91944537906988,1,5
AB01028,A组(对照组),35-44,女,PC,155.18762354796257,0,3
AB01029,A组(对照组),45+,女,PC,34.25405225592789,0,4
AB01030,A组(对照组),45+,男,Android,47.42452407937689,0,3
AB01031,A组(对照组),45+,女,iOS,3.7173728571784226,0,2
AB01032,B组(实验组),18-24,女,Android,124.77353204570149,0,3
AB01033,A组(对照组),25-34,男,iOS,51.410535683634635,0,7
AB01034,B组(实验组),35-44,女,Android,24.773415979554755,1,4
AB01035,B组(实验组),25-34,女,Android,12.29122966114937,0,6
AB01036,A组(对照组),45+,女,Android,16.814500145760697,0,3
AB01037,A组(对照组),25-34,女,PC,160.25512351928978,0,2
AB01038,A组(对照组),35-44,男,iOS,8.20288606919169,1,3
AB01039,A组(对照组),25-34,女,Android,4.78755501998711,0,2
AB01040,A组(对照组),18-24,男,Android,5.219375063678305,0,6
AB01041,A组(对照组),25-34,女,iOS,5.849242359429374,0,6
AB01042,A组(对照组),25-34,男,Android,72.6305691585834,0,6
AB01043,A组(对照组),45+,男,Android,30.2302751703812,0,4
AB01044,A组(对照组),35-44,男,Android,11.852611955656037,0,4
AB01045,A组(对照组),35-44,男,Android,33.004548285665436,0,3
AB01046,A组(对照组),25-34,男,PC,69.4650750234513,0,5
AB01047,A组(对照组),18-24,女,iOS,51.74756488530352,1,6
AB01048,A组(对照组),45+,男,PC,27.927420348482034,0,9
AB01049,B组(实验组),35-44,女,Android,43.965600261845374,0,5
AB01050,A组(对照组),45+,女,PC,58.602787874651796,0,3
AB01051,A组(对照组),45+,男,PC,29.089749398793643,0,3
AB01052,A组(对照组),45+,男,iOS,13.456427151161694,0,6
AB01053,B组(实验组),45+,男,iOS,9.071244024574062,0,3
AB01054,A组(对照组),35-44,女,Android,15.317054944982505,0,3
AB01055,B组(实验组),25-34,男,Android,81.49667131870889,0,4
AB01056,A组(对照组),25-34,女,iOS,51.550108340970844,0,5
AB01057,B组(实验组),35-44,女,Android,98.65750409960624,0,1
AB01058,A组(对照组),18-24,男,iOS,11.325477703453442,0,2
AB01059,B组(实验组),35-44,女,Android,4.918483269562388,0,8
AB01060,A组(对照组),18-24,男,PC,3.3158506760289406,0,7
AB01061,A组(对照组),35-44,女,Android,77.41346054446784,0,5
AB01062,A组(对照组),35-44,男,Android,95.94951543009103,0,2
AB01063,A组(对照组),25-34,女,iOS,42.985075517637625,0,4
AB01064,A组(对照组),25-34,女,PC,121.8796526799657,0,5
AB01065,A组(对照组),18-24,女,iOS,40.98356416847681,0,4
AB01066,B组(实验组),25-34,女,iOS,206.07838784484576,0,11
AB01067,B组(实验组),35-44,女,PC,26.554654118844994,0,7
AB01068,A组(对照组),18-24,男,Android,61.39804392074187,1,2
AB01069,A组(对照组),25-34,女,iOS,1.5632006903340787,0,3
AB01070,B组(实验组),18-24,男,Android,70.6504077286775,0,8
AB01071,B组(实验组),45+,男,PC,31.664145274750087,0,5
AB01072,A组(对照组),35-44,男,iOS,5.327123224885072,0,3
AB01073,A组(对照组),35-44,男,Android,18.665251220240254,0,5
AB01074,B组(实验组),18-24,女,Android,141.87905032217657,0,7
AB01075,B组(实验组),18-24,女,PC,196.85297115951883,0,7
AB01076,A组(对照组),45+,女,PC,153.47464265229132,0,3
AB01077,A组(对照组),18-24,男,iOS,44.16417483469084,0,4
AB01078,A组(对照组),25-34,男,iOS,29.627800011922353,0,4
AB01079,A组(对照组),25-34,女,Android,64.32877267256517,0,2
AB01080,A组(对照组),35-44,男,PC,208.9485796459396,0,6
AB01081,B组(实验组),25-34,男,iOS,162.03580480151993,0,1
AB01082,A组(对照组),18-24,女,Android,72.03238540860409,0,5
AB01083,A组(对照组),18-24,男,Android,31.52423417017014,0,3
AB01084,A组(对照组),18-24,男,iOS,4.163317291773535,0,7
AB01085,A组(对照组),35-44,女,Android,19.69969690409891,0,3
AB01086,A组(对照组),18-24,女,iOS,14.062066546610504,0,11
AB01087,B组(实验组),25-34,女,PC,213.82248447394124,0,2
AB01088,A组(对照组),35-44,男,Android,33.3700167860705,0,5
AB01089,A组(对照组),45+,女,PC,85.0030530273736,0,7
AB01090,A组(对照组),45+,男,iOS,133.7847648809424,0,5
AB01091,A组(对照组),25-34,女,iOS,63.47043015884819,0,4
AB01092,B组(实验组),25-34,男,iOS,93.33727632829283,1,5
AB01093,B组(实验组),35-44,女,PC,74.15565437796984,0,3
AB01094,A组(对照组),35-44,男,Android,73.2201492320781,0,4
AB01095,A组(对照组),25-34,男,PC,228.92715161657645,0,7
AB01096,A组(对照组),35-44,女,iOS,42.93227976704406,0,9
AB01097,B组(实验组),35-44,男,Android,49.526919187987936,0,5
AB01098,A组(对照组),35-44,女,PC,16.198007853061206,0,8
AB01099,B组(实验组),45+,男,Android,21.471938776904945,0,5
AB01100,B组(实验组),35-44,男,PC,41.86231935024247,0,5
AB01101,B组(实验组),35-44,男,PC,6.940665174103968,0,6
AB01102,A组(对照组),18-24,男,PC,60.35693845438183,0,5
AB01103,A组(对照组),35-44,女,iOS,45.52619596053175,0,1
AB01104,B组(实验组),18-24,男,Android,109.62973336008824,0,7
AB01105,A组(对照组),18-24,女,iOS,15.685412474937767,0,2
AB01106,A组(对照组),18-24,男,PC,10.19165432446434,0,7
AB01107,A组(对照组),35-44,女,iOS,16.012822473172076,0,2
AB01108,A组(对照组),18-24,男,PC,145.45314788295482,0,4
AB01109,B组(实验组),25-34,女,iOS,102.3929569228367,0,3
AB01110,B组(实验组),18-24,男,iOS,10.809635070103909,0,3
AB01111,A组(对照组),45+,男,Android,177.86476156502852,1,6
AB01112,A组(对照组),25-34,男,PC,168.8183679503943,0,5
AB01113,A组(对照组),18-24,女,iOS,10.391467129795545,0,6
AB01114,B组(实验组),45+,男,PC,44.097277247280765,0,9
AB01115,A组(对照组),45+,女,Android,0.43715703203318956,0,4
AB01116,B组(实验组),45+,男,Android,109.95305678591353,0,4
AB01117,A组(对照组),45+,男,iOS,102.58733498038193,0,5
AB01118,A组(对照组),25-34,男,iOS,44.70559813246853,0,6
AB01119,A组(对照组),35-44,男,PC,5.338382978757854,0,1
AB01120,B组(实验组),45+,女,PC,4.446367723230544,0,6
AB01121,A组(对照组),45+,男,iOS,36.35244314860908,0,6
AB01122,B组(实验组),35-44,男,Android,47.170317875906036,0,5
AB01123,A组(对照组),45+,男,iOS,20.091455895062072,0,1
AB01124,A组(对照组),45+,男,PC,7.221610621897443,0,5
AB01125,A组(对照组),45+,女,iOS,173.64376776136652,0,5
AB01126,B组(实验组),18-24,男,PC,273.5377092725927,0,6
AB01127,B组(实验组),18-24,男,Android,0.8644813771864444,0,3
AB01128,A组(对照组),18-24,男,Android,22.918473657377262,0,5
AB01129,B组(实验组),35-44,男,Android,224.90137785770065,0,6
AB01130,A组(对照组),45+,男,Android,37.98705000777774,0,3
AB01131,B组(实验组),35-44,男,Android,43.64884030313915,0,7
AB01132,B组(实验组),35-44,男,Android,12.694908579718449,0,4
AB01133,A组(对照组),25-34,女,iOS,9.10006422523004,0,3
AB01134,B组(实验组),45+,男,iOS,83.72595939384959,0,10
AB01135,A组(对照组),35-44,女,iOS,19.944102415001836,0,4
AB01136,B组(实验组),45+,女,iOS,24.671557686438145,0,5
AB01137,A组(对照组),35-44,男,PC,166.3085732434338,1,5
AB01138,B组(实验组),45+,女,PC,1.7632209909999215,0,0
AB01139,A组(对照组),45+,女,Android,2.5992414149799132,0,7
AB01140,A组(对照组),25-34,女,PC,112.43784541925578,0,3
AB01141,A组(对照组),35-44,女,iOS,22.68211129793348,0,5
AB01142,B组(实验组),18-24,女,Android,17.68474922938353,0,2
AB01143,B组(实验组),45+,男,PC,110.85088151325184,0,8
AB01144,A组(对照组),45+,女,PC,77.99673988185125,0,5
AB01145,B组(实验组),25-34,男,Android,19.54404202030451,0,8
AB01146,B组(实验组),45+,男,iOS,9.484813717392653,0,5
AB01147,A组(对照组),25-34,女,PC,29.600576187521085,0,4
AB01148,B组(实验组),45+,男,iOS,41.25656997849723,0,2
AB01149,A组(对照组),25-34,女,Android,71.7830295454449,0,8
AB01150,B组(实验组),25-34,女,Android,118.22754345663978,0,7
AB01151,B组(实验组),35-44,女,Android,32.76591576500078,0,5
AB01152,B组(实验组),45+,女,iOS,4.5365178734779015,0,5
AB01153,A组(对照组),45+,男,PC,25.006313591680726,0,1
AB01154,B组(实验组),35-44,女,PC,39.95966538290695,0,6
AB01155,A组(对照组),45+,男,PC,284.8740671385914,0,7
AB01156,B组(实验组),25-34,女,iOS,101.6577806865524,0,9
AB01157,B组(实验组),35-44,男,Android,47.75868417944021,0,8
AB01158,B组(实验组),35-44,女,PC,31.569222698139228,0,7
AB01159,B组(实验组),25-34,男,PC,34.40917243193841,0,8
AB01160,B组(实验组),25-34,男,Android,56.42290088441019,0,4
AB01161,B组(实验组),35-44,男,PC,8.850750907881986,0,6
AB01162,B组(实验组),35-44,男,Android,148.2357344118664,0,6
AB01163,B组(实验组),25-34,女,PC,71.6266056226699,0,7
AB01164,B组(实验组),35-44,女,Android,8.652226550485205,0,2
AB01165,A组(对照组),35-44,男,iOS,56.703033800787196,0,3
AB01166,A组(对照组),45+,女,Android,187.69922893756657,0,5
AB01167,B组(实验组),25-34,男,iOS,26.338771348548807,0,1
AB01168,A组(对照组),18-24,男,Android,38.75777242046862,0,6
AB01169,A组(对照组),45+,男,Android,292.49543956129315,0,7
AB01170,B组(实验组),45+,男,iOS,31.13149398685721,0,3
AB01171,A组(对照组),45+,女,Android,150.85927887264947,0,7
AB01172,A组(对照组),45+,男,iOS,11.310952803268727,0,3
AB01173,A组(对照组),45+,男,iOS,230.7132528455748,0,5
AB01174,A组(对照组),45+,女,Android,4.836920751099318,0,7
AB01175,B组(实验组),18-24,男,Android,68.66359667895973,0,4
AB01176,B组(实验组),25-34,女,PC,34.30716850831642,0,6
AB01177,A组(对照组),18-24,男,iOS,14.60146214002861,0,9
AB01178,A组(对照组),45+,女,iOS,236.95392087525818,0,6
AB01179,A组(对照组),18-24,女,iOS,26.710707799878595,0,4
AB01180,A组(对照组),35-44,男,iOS,77.67295185606628,0,6
AB01181,B组(实验组),45+,男,Android,62.57982720186688,0,9
AB01182,B组(实验组),45+,男,iOS,3.145115902797424,0,5
AB01183,A组(对照组),18-24,女,PC,3.577046197903619,0,8
AB01184,A组(对照组),35-44,男,Android,210.34972251988026,0,5
AB01185,A组(对照组),18-24,男,iOS,34.76127798618292,0,4
AB01186,B组(实验组),18-24,男,PC,18.184316745459878,0,2
AB01187,B组(实验组),35-44,男,PC,20.30534506632037,0,1
AB01188,A组(对照组),35-44,女,PC,61.79412325749219,0,9
AB01189,A组(对照组),35-44,女,PC,231.9844793313048,0,7
AB01190,B组(实验组),18-24,男,Android,124.5028177379701,0,2
AB01191,B组(实验组),45+,女,Android,7.929398125292153,1,4
AB01192,A组(对照组),45+,女,Android,12.481438265721394,0,3
AB01193,A组(对照组),25-34,男,PC,98.25920304071865,0,4
AB01194,A组(对照组),25-34,男,iOS,89.26217392767697,0,5
AB01195,B组(实验组),35-44,女,PC,42.78709621644752,0,1
AB01196,B组(实验组),35-44,女,Android,75.41063015000802,0,3
AB01197,B组(实验组),18-24,女,iOS,344.7918614188577,0,3
AB01198,B组(实验组),35-44,女,PC,24.646273520710665,0,6
AB01199,A组(对照组),25-34,男,iOS,47.71869503563664,0,4
AB01200,A组(对照组),35-44,女,PC,20.83587217083851,0,10
AB01201,B组(实验组),45+,女,PC,88.27169924670372,0,5
AB01202,A组(对照组),45+,男,iOS,99.25618388436358,0,5
AB01203,A组(对照组),45+,男,Android,48.415425930847576,0,7
AB01204,B组(实验组),35-44,女,PC,166.5694627934407,0,8
AB01205,A组(对照组),35-44,女,PC,25.1314339265189,0,3
AB01206,B组(实验组),35-44,女,iOS,44.63776280023077,0,6
AB01207,A组(对照组),35-44,男,PC,6.613495680442846,0,3
AB01208,B组(实验组),18-24,女,PC,34.41613644577119,0,1
AB01209,B组(实验组),18-24,女,iOS,12.195499418158077,0,4
AB01210,B组(实验组),45+,男,iOS,33.03493465889043,1,3
AB01211,A组(对照组),25-34,女,Android,47.30549151538617,0,6
AB01212,B组(实验组),45+,男,PC,46.78855811874845,0,5
AB01213,B组(实验组),18-24,男,PC,32.83418935035927,0,3
AB01214,A组(对照组),25-34,女,iOS,24.849433999641764,0,9
AB01215,A组(对照组),25-34,女,Android,99.93209954093558,0,7
AB01216,A组(对照组),25-34,女,iOS,158.20978528196767,0,6
AB01217,A组(对照组),45+,男,Android,5.302431724125455,0,4
AB01218,B组(实验组),18-24,女,Android,169.3851637117637,0,4
AB01219,B组(实验组),45+,男,iOS,254.4614785725382,0,5
AB01220,B组(实验组),18-24,女,iOS,27.722264659041915,0,9
AB01221,B组(实验组),35-44,女,PC,9.618563277370747,1,5
AB01222,B组(实验组),25-34,男,PC,46.09584949355556,0,6
AB01223,B组(实验组),35-44,女,Android,132.45990357504616,0,6
AB01224,B组(实验组),18-24,女,Android,61.772200084246485,0,11
AB01225,A组(对照组),45+,男,Android,18.348040327286398,0,7
AB01226,A组(对照组),25-34,女,Android,8.302808882965458,0,8
AB01227,A组(对照组),45+,男,PC,36.44613676643559,0,4
AB01228,A组(对照组),45+,男,Android,87.3169514526459,0,2
AB01229,B组(实验组),25-34,男,Android,55.37952650660975,0,9
AB01230,A组(对照组),35-44,男,PC,109.45080077707996,0,6
AB01231,B组(实验组),25-34,男,Android,6.950567576467024,0,2
AB01232,B组(实验组),25-34,男,PC,34.874393941593375,0,6
AB01233,B组(实验组),25-34,女,Android,85.18137865945009,0,5
AB01234,B组(实验组),18-24,男,iOS,61.676806254412725,0,2
AB01235,A组(对照组),45+,男,Android,48.717791502414734,0,5
AB01236,A组(对照组),18-24,女,PC,65.11360012786804,0,5
AB01237,A组(对照组),45+,男,iOS,25.250063308909713,0,3
AB01238,A组(对照组),18-24,男,PC,40.27421170381978,0,5
AB01239,A组(对照组),18-24,女,PC,14.364259732150016,0,4
AB01240,B组(实验组),25-34,女,iOS,57.07337898011951,0,6
AB01241,A组(对照组),25-34,女,Android,107.26232593275333,0,5
AB01242,A组(对照组),45+,男,Android,71.14155597456586,1,7
AB01243,A组(对照组),35-44,男,PC,48.25513399821064,0,4
AB01244,A组(对照组),45+,男,iOS,5.822414671345697,0,2
AB01245,B组(实验组),18-24,男,PC,9.32300235234378,0,7
AB01246,A组(对照组),18-24,男,PC,19.972028320948876,0,6
AB01247,B组(实验组),45+,女,iOS,151.54732764345098,0,1
AB01248,A组(对照组),25-34,女,iOS,6.700327065397877,0,5
AB01249,A组(对照组),18-24,女,iOS,50.97575893773309,1,7
AB01250,B组(实验组),45+,男,PC,134.7380475227103,0,1
AB01251,A组(对照组),35-44,女,PC,53.98033473007359,0,6
AB01252,A组(对照组),35-44,女,Android,240.94456619478183,0,4
